year month day precipitation_mswep
1981 02 16 0.318
1981 02 17 0.083
1981 02 18 0.000
1981 02 19 0.000
1981 02 20 0.058
1981 02 21 3.383
1981 02 22 0.606
1981 02 23 0.013
1981 02 24 0.000
1981 02 25 0.009
1981 02 26 0.477
1981 02 27 0.109
1981 02 28 0.007
1981 03 01 1.049
1981 03 02 0.576
1981 03 03 0.062
1981 03 04 42.446
1981 03 05 18.468
1981 03 06 3.195
1981 03 07 0.745
1981 03 08 8.886
1981 03 09 14.582
1981 03 10 0.858
1981 03 11 0.022
1981 03 12 0.458
1981 03 13 0.177
1981 03 14 0.000
1981 03 15 8.199
1981 03 16 5.558
1981 03 17 12.806
1981 03 18 8.137
1981 03 19 24.296
1981 03 20 20.603
1981 03 21 0.907
1981 03 22 32.413
1981 03 23 8.831
1981 03 24 0.107
1981 03 25 15.562
1981 03 26 19.566
1981 03 27 19.602
1981 03 28 7.133
1981 03 29 0.464
1981 03 30 0.058
1981 03 31 0.007
1981 04 01 0.000
1981 04 02 0.000
1981 04 03 4.669
1981 04 04 1.647
1981 04 05 0.683
1981 04 06 0.025
1981 04 07 0.000
1981 04 08 0.000
1981 04 09 0.000
1981 04 10 0.716
1981 04 11 0.082
1981 04 12 0.099
1981 04 13 1.344
1981 04 14 4.793
1981 04 15 2.338
1981 04 16 5.974
1981 04 17 0.000
1981 04 18 0.000
1981 04 19 0.000
1981 04 20 0.000
1981 04 21 0.000
1981 04 22 0.000
1981 04 23 4.103
1981 04 24 22.069
1981 04 25 0.006
1981 04 26 0.000
1981 04 27 0.275
1981 04 28 2.643
1981 04 29 1.895
1981 04 30 0.007
1981 05 01 0.000
1981 05 02 0.000
1981 05 03 0.000
1981 05 04 0.000
1981 05 05 0.000
1981 05 06 0.000
1981 05 07 0.000
1981 05 08 0.000
1981 05 09 0.000
1981 05 10 0.000
1981 05 11 0.000
1981 05 12 0.000
1981 05 13 0.000
1981 05 14 0.000
1981 05 15 0.000
1981 05 16 0.000
1981 05 17 0.000
1981 05 18 0.000
1981 05 19 0.000
1981 05 20 0.000
1981 05 21 0.000
1981 05 22 0.000
1981 05 23 0.000
1981 05 24 0.000
1981 05 25 0.000
1981 05 26 0.000
1981 05 27 0.000
1981 05 28 0.005
1981 05 29 0.000
1981 05 30 0.000
1981 05 31 0.000
1981 06 01 0.000
1981 06 02 0.000
1981 06 03 0.044
1981 06 04 0.073
1981 06 05 0.025
1981 06 06 4.516
1981 06 07 22.772
1981 06 08 0.000
1981 06 09 0.000
1981 06 10 0.000
1981 06 11 0.000
1981 06 12 0.000
1981 06 13 0.000
1981 06 14 0.000
1981 06 15 0.000
1981 06 16 9.148
1981 06 17 0.061
1981 06 18 0.003
1981 06 19 0.000
1981 06 20 0.000
1981 06 21 0.000
1981 06 22 0.000
1981 06 23 0.000
1981 06 24 0.000
1981 06 25 0.000
1981 06 26 0.000
1981 06 27 0.000
1981 06 28 0.000
1981 06 29 0.000
1981 06 30 0.000
1981 07 01 0.000
1981 07 02 0.000
1981 07 03 0.022
1981 07 04 0.160
1981 07 05 0.054
1981 07 06 0.000
1981 07 07 0.000
