year month day temperature_min
1981 05 05 15.786
1981 05 06 14.970
1981 05 07 14.806
1981 05 08 13.703
1981 05 09 10.323
1981 05 10 14.446
1981 05 11 13.423
1981 05 12 12.971
1981 05 13 14.984
1981 05 14 14.445
1981 05 15 10.099
1981 05 16 7.651
1981 05 17 10.218
1981 05 18 13.094
1981 05 19 14.328
1981 05 20 13.521
1981 05 21 12.986
1981 05 22 12.949
1981 05 23 11.830
1981 05 24 12.225
1981 05 25 11.072
1981 05 26 11.308
1981 05 27 9.819
1981 05 28 10.129
1981 05 29 8.749
1981 05 30 6.888
1981 05 31 9.026
1981 06 01 10.410
1981 06 02 12.783
1981 06 03 11.797
1981 06 04 6.648
1981 06 05 9.666
1981 06 06 11.009
1981 06 07 10.012
1981 06 08 6.162
1981 06 09 2.263
1981 06 10 4.414
1981 06 11 8.794
1981 06 12 7.973
1981 06 13 6.611
1981 06 14 4.471
1981 06 15 2.333
1981 06 16 8.592
1981 06 17 3.014
1981 06 18 -1.831
1981 06 19 -3.013
1981 06 20 1.163
1981 06 21 1.276
1981 06 22 5.572
1981 06 23 8.047
1981 06 24 10.220
1981 06 25 3.994
1981 06 26 12.123
1981 06 27 11.706
1981 06 28 11.227
1981 06 29 12.936
1981 06 30 12.653
1981 07 01 12.674
1981 07 02 6.359
1981 07 03 1.296
1981 07 04 3.532
1981 07 05 6.302
1981 07 06 0.266
1981 07 07 5.564
1981 07 08 7.394
1981 07 09 7.446
1981 07 10 6.787
1981 07 11 11.363
1981 07 12 12.157
1981 07 13 13.030
1981 07 14 11.647
1981 07 15 14.099
1981 07 16 15.068
1981 07 17 7.815
1981 07 18 1.874
1981 07 19 -0.235
1981 07 20 -1.388
1981 07 21 1.065
1981 07 22 1.684
1981 07 23 4.531
1981 07 24 0.908
1981 07 25 3.855
1981 07 26 4.453
1981 07 27 6.205
1981 07 28 7.299
1981 07 29 7.334
1981 07 30 8.808
1981 07 31 12.114
1981 08 01 12.441
1981 08 02 10.652
1981 08 03 11.152
1981 08 04 11.702
1981 08 05 11.609
1981 08 06 12.965
1981 08 07 13.832
1981 08 08 13.407
1981 08 09 8.545
1981 08 10 7.911
1981 08 11 9.251
1981 08 12 9.753
1981 08 13 11.445
1981 08 14 5.757
1981 08 15 5.324
1981 08 16 5.645
1981 08 17 9.707
1981 08 18 7.636
1981 08 19 6.708
1981 08 20 4.737
1981 08 21 5.929
1981 08 22 6.571
1981 08 23 6.974
1981 08 24 7.171
1981 08 25 11.354
1981 08 26 14.964
1981 08 27 13.814
1981 08 28 12.272
1981 08 29 13.798
1981 08 30 13.514
1981 08 31 8.769
1981 09 01 9.054
1981 09 02 9.846
1981 09 03 12.733
1981 09 04 4.868
1981 09 05 3.684
1981 09 06 5.536
1981 09 07 7.048
1981 09 08 8.643
1981 09 09 15.162
1981 09 10 17.772
1981 09 11 13.459
1981 09 12 14.698
1981 09 13 13.403
1981 09 14 13.473
1981 09 15 4.131
1981 09 16 1.835
1981 09 17 3.173
1981 09 18 9.692
1981 09 19 17.821
1981 09 20 18.314
1981 09 21 13.938
1981 09 22 9.816
1981 09 23 10.342
1981 09 24 12.573
1981 09 25 13.140
1981 09 26 11.752
1981 09 27 14.366
1981 09 28 15.243
1981 09 29 13.441
1981 09 30 2.134
1981 10 01 3.390
1981 10 02 4.942
1981 10 03 10.346
1981 10 04 13.696
1981 10 05 12.798
1981 10 06 15.545
1981 10 07 14.088
1981 10 08 9.924
1981 10 09 9.613
1981 10 10 9.886
1981 10 11 11.088
1981 10 12 11.987
1981 10 13 9.136
1981 10 14 8.118
1981 10 15 10.684
1981 10 16 11.474
1981 10 17 9.668
1981 10 18 8.595
1981 10 19 10.712
1981 10 20 9.556
1981 10 21 9.640
1981 10 22 11.029
1981 10 23 9.272
1981 10 24 10.957
1981 10 25 18.101
1981 10 26 16.469
1981 10 27 15.641
1981 10 28 14.923
1981 10 29 15.606
1981 10 30 15.854
1981 10 31 15.251
1981 11 01 15.708
1981 11 02 16.202
1981 11 03 17.550
1981 11 04 15.154
1981 11 05 17.441
1981 11 06 17.007
1981 11 07 16.933
1981 11 08 17.010
1981 11 09 17.011
1981 11 10 15.358
1981 11 11 11.258
1981 11 12 13.517
1981 11 13 9.191
1981 11 14 12.572
1981 11 15 14.830
1981 11 16 14.519
1981 11 17 12.063
1981 11 18 14.407
1981 11 19 16.337
1981 11 20 10.213
1981 11 21 10.392
1981 11 22 11.679
1981 11 23 16.089
1981 11 24 15.513
1981 11 25 14.807
1981 11 26 15.324
1981 11 27 15.456
1981 11 28 17.592
1981 11 29 15.529
1981 11 30 17.549
1981 12 01 16.902
1981 12 02 12.908
1981 12 03 12.200
1981 12 04 12.817
1981 12 05 15.783
1981 12 06 16.785
1981 12 07 14.484
1981 12 08 11.309
1981 12 09 12.239
1981 12 10 11.004
1981 12 11 15.091
1981 12 12 16.083
1981 12 13 14.638
1981 12 14 16.634
1981 12 15 17.358
1981 12 16 12.463
1981 12 17 11.410
1981 12 18 16.543
1981 12 19 18.124
1981 12 20 18.716
1981 12 21 19.430
1981 12 22 17.179
1981 12 23 18.673
1981 12 24 12.711
1981 12 25 16.064
1981 12 26 16.557
1981 12 27 15.475
1981 12 28 13.621
1981 12 29 12.518
1981 12 30 12.363
