year month day potential_evapotransp_gleam
1981 10 12 2.979
1981 10 13 3.581
1981 10 14 3.630
1981 10 15 1.893
1981 10 16 3.226
1981 10 17 3.383
1981 10 18 2.357
1981 10 19 2.073
1981 10 20 2.231
1981 10 21 2.936
1981 10 22 3.533
1981 10 23 3.939
1981 10 24 4.128
1981 10 25 3.760
1981 10 26 0.745
1981 10 27 1.621
1981 10 28 2.905
1981 10 29 4.470
1981 10 30 4.773
1981 10 31 4.306
1981 11 01 4.451
1981 11 02 3.591
1981 11 03 2.291
1981 11 04 3.507
1981 11 05 2.631
1981 11 06 1.545
1981 11 07 3.699
1981 11 08 4.139
1981 11 09 5.139
1981 11 10 4.688
1981 11 11 4.465
1981 11 12 4.322
1981 11 13 4.200
1981 11 14 3.723
1981 11 15 3.654
1981 11 16 3.345
1981 11 17 3.661
1981 11 18 2.642
1981 11 19 3.707
1981 11 20 4.424
1981 11 21 4.692
1981 11 22 4.806
1981 11 23 2.435
1981 11 24 2.766
1981 11 25 4.273
1981 11 26 4.372
1981 11 27 4.291
1981 11 28 1.873
1981 11 29 2.717
1981 11 30 3.123
1981 12 01 4.927
1981 12 02 4.391
1981 12 03 4.510
1981 12 04 4.723
1981 12 05 0.547
1981 12 06 5.415
1981 12 07 4.665
1981 12 08 4.166
1981 12 09 4.507
1981 12 10 4.316
1981 12 11 4.236
1981 12 12 3.897
1981 12 13 4.413
1981 12 14 4.149
1981 12 15 2.782
1981 12 16 5.230
1981 12 17 5.148
1981 12 18 5.349
1981 12 19 3.416
1981 12 20 1.934
1981 12 21 4.290
1981 12 22 0.554
1981 12 23 3.976
1981 12 24 4.822
1981 12 25 3.743
1981 12 26 2.865
1981 12 27 4.430
1981 12 28 4.592
1981 12 29 4.702
1981 12 30 5.045
1981 12 31 2.452
1982 01 01 4.501
1982 01 02 4.626
1982 01 03 4.542
1982 01 04 4.274
1982 01 05 4.070
1982 01 06 3.539
1982 01 07 1.844
1982 01 08 2.847
1982 01 09 4.235
1982 01 10 4.426
1982 01 11 3.212
1982 01 12 4.721
1982 01 13 4.522
1982 01 14 4.476
1982 01 15 4.397
1982 01 16 4.768
1982 01 17 1.910
1982 01 18 4.833
1982 01 19 4.499
1982 01 20 4.745
1982 01 21 3.699
1982 01 22 3.525
1982 01 23 4.396
1982 01 24 4.476
1982 01 25 4.242
1982 01 26 4.698
1982 01 27 4.493
1982 01 28 4.452
1982 01 29 4.321
1982 01 30 4.722
1982 01 31 4.423
1982 02 01 4.002
1982 02 02 4.979
1982 02 03 1.587
1982 02 04 3.430
1982 02 05 2.916
1982 02 06 3.757
1982 02 07 4.446
1982 02 08 3.029
1982 02 09 1.095
1982 02 10 2.200
1982 02 11 2.894
1982 02 12 1.729
1982 02 13 3.659
1982 02 14 1.798
1982 02 15 2.001
1982 02 16 3.858
1982 02 17 4.024
1982 02 18 2.777
1982 02 19 2.407
1982 02 20 1.865
1982 02 21 1.423
1982 02 22 3.937
1982 02 23 3.141
1982 02 24 3.461
1982 02 25 3.374
1982 02 26 2.913
1982 02 27 3.895
1982 02 28 3.767
1982 03 01 2.861
1982 03 02 3.672
1982 03 03 3.477
1982 03 04 3.508
1982 03 05 1.597
1982 03 06 3.340
1982 03 07 3.803
1982 03 08 3.841
1982 03 09 3.583
1982 03 10 3.732
1982 03 11 3.450
1982 03 12 3.533
1982 03 13 3.232
1982 03 14 2.123
1982 03 15 2.388
1982 03 16 3.019
1982 03 17 3.574
1982 03 18 3.242
1982 03 19 3.329
1982 03 20 3.008
1982 03 21 1.676
1982 03 22 2.169
1982 03 23 2.224
1982 03 24 3.234
1982 03 25 3.398
1982 03 26 3.025
1982 03 27 0.601
1982 03 28 2.964
1982 03 29 2.218
1982 03 30 2.044
1982 03 31 2.868
1982 04 01 2.828
1982 04 02 2.447
1982 04 03 2.208
1982 04 04 0.379
1982 04 05 2.708
1982 04 06 2.717
1982 04 07 2.535
1982 04 08 2.520
1982 04 09 2.340
1982 04 10 2.287
1982 04 11 2.249
1982 04 12 2.223
1982 04 13 2.560
1982 04 14 0.556
1982 04 15 1.267
1982 04 16 1.927
1982 04 17 1.741
1982 04 18 1.938
1982 04 19 1.165
1982 04 20 1.215
1982 04 21 1.886
1982 04 22 1.293
1982 04 23 1.315
1982 04 24 1.286
1982 04 25 1.564
1982 04 26 1.650
1982 04 27 1.090
1982 04 28 1.437
1982 04 29 1.819
1982 04 30 1.754
1982 05 01 1.776
1982 05 02 1.056
1982 05 03 1.297
1982 05 04 1.417
1982 05 05 0.117
1982 05 06 1.299
1982 05 07 1.152
1982 05 08 -0.115
1982 05 09 0.784
1982 05 10 0.877
1982 05 11 1.085
1982 05 12 1.519
1982 05 13 1.748
1982 05 14 -0.009
1982 05 15 1.243
1982 05 16 1.160
1982 05 17 1.618
1982 05 18 0.100
1982 05 19 0.960
1982 05 20 0.884
1982 05 21 0.889
1982 05 22 0.905
1982 05 23 1.001
1982 05 24 0.652
1982 05 25 0.526
1982 05 26 0.713
1982 05 27 0.868
1982 05 28 0.768
1982 05 29 0.849
1982 05 30 0.889
1982 05 31 0.954
1982 06 01 0.932
1982 06 02 0.946
1982 06 03 0.314
1982 06 04 1.052
1982 06 05 0.909
1982 06 06 0.979
1982 06 07 1.047
1982 06 08 0.029
1982 06 09 1.355
1982 06 10 0.141
1982 06 11 0.880
1982 06 12 0.666
1982 06 13 0.382
1982 06 14 0.158
1982 06 15 0.265
1982 06 16 0.448
1982 06 17 0.085
1982 06 18 0.342
1982 06 19 0.237
1982 06 20 0.087
1982 06 21 0.180
1982 06 22 0.498
1982 06 23 0.856
1982 06 24 -0.021
1982 06 25 0.599
1982 06 26 0.695
1982 06 27 0.605
1982 06 28 0.157
1982 06 29 0.471
1982 06 30 0.643
1982 07 01 0.746
1982 07 02 0.879
1982 07 03 1.414
1982 07 04 -0.031
1982 07 05 0.656
