gauge_id crop_perc crop_mosaic_perc forest_perc shrub_perc grass_perc barren_perc imperv_perc wet_perc snow_perc dom_land_cover dom_land_cover_perc
25200000 31.93080 31.69830 25.84920 9.75280 0.02660 0.01900 0.00000 0.72340 0.00000 crop 31.93080
25700000 30.55760 32.18140 25.87670 9.46480 0.04990 0.01710 0.00000 1.85250 0.00000 crop_mosaic 32.18140
25950000 26.74540 34.73920 27.36400 8.98260 0.05030 0.01420 0.00000 2.10430 0.00000 crop_mosaic 34.73920
26040000 51.75200 29.83580 9.16680 9.14060 0.03140 0.00870 0.00000 0.06470 0.00000 crop 51.75200
26050000 38.11590 34.15230 12.75510 14.68590 0.02200 0.01260 0.00000 0.25620 0.00000 crop 38.11590
26100000 29.60420 34.01740 19.36020 16.57370 0.01640 0.00880 0.00000 0.41940 0.00000 crop_mosaic 34.01740
26200000 27.65680 32.88000 24.46210 14.61740 0.01170 0.00610 0.00000 0.36580 0.00000 crop_mosaic 32.88000
26300000 19.89830 29.18820 29.08890 17.63540 0.03380 0.00470 0.00000 4.15080 0.00000 crop_mosaic 29.18820
26350000 22.24210 30.53170 28.34960 14.69950 0.06000 0.01150 0.00000 4.10560 0.00000 crop_mosaic 30.53170
26720000 2.78310 51.36110 25.28250 20.51360 0.00280 0.00000 0.00000 0.05690 0.00000 crop_mosaic 51.36110
27500000 14.17770 27.89800 34.21790 17.54200 0.09870 0.01400 0.00000 6.05180 0.00000 forest 34.21790
27550000 21.43750 35.86800 40.70700 1.77530 0.00000 0.00000 0.00000 0.21210 0.00000 forest 40.70700
28150000 27.57160 34.15390 36.56800 1.65300 0.00000 0.00000 0.00000 0.05350 0.00000 forest 36.56800
28300000 16.40340 28.57560 33.40760 16.00960 0.09080 0.01230 0.00000 5.50060 0.00000 forest 33.40760
28850000 16.86360 28.72550 33.04150 15.76740 0.08880 0.01200 0.00000 5.50110 0.00000 forest 33.04150
29050000 14.14170 30.23820 33.06100 18.84430 0.09100 0.02100 0.00160 3.60130 0.00000 forest 33.06100
29100000 18.71240 14.94220 63.52110 0.99550 0.02360 0.00480 0.00000 1.80040 0.00000 forest 63.52110
29700000 14.26540 28.80900 35.45710 17.37930 0.08840 0.01970 0.00170 3.97930 0.00000 forest 35.45710
30080000 0.00000 0.56260 94.14640 1.80450 0.69620 0.00000 0.00000 2.79040 0.00000 forest 94.14640
30400000 0.00000 0.64300 93.33040 1.86590 1.03500 0.00000 0.00000 3.12570 0.00000 forest 93.33040
31490000 0.00000 7.26010 92.48210 0.19400 0.00000 0.00000 0.00000 0.06370 0.00000 forest 92.48210
31520000 0.00000 8.83420 90.91220 0.20360 0.00190 0.00000 0.00000 0.04800 0.00000 forest 90.91220
31600000 0.00000 44.88190 55.11810 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 forest 55.11810
31680000 5.49680 8.20790 84.19230 1.08110 0.08880 0.00040 0.00000 0.93270 0.00000 forest 84.19230
31700000 4.39210 8.74220 84.47890 1.01520 0.10240 0.00030 0.00000 1.26880 0.00000 forest 84.47890
32400000 0.00000 1.65620 98.24750 0.05880 0.00000 0.00000 0.00000 0.03740 0.00000 forest 98.24750
32550000 0.00000 3.88790 94.46950 1.49750 0.13890 0.00000 0.00000 0.00610 0.00000 forest 94.46950
32620000 7.86480 8.22590 82.19220 1.45930 0.08350 0.00030 0.00000 0.17400 0.00000 forest 82.19220
32830000 6.49120 20.67250 55.50670 16.97370 0.00240 0.00490 0.00000 0.21440 0.13400 forest 55.50670
33025000 32.71570 23.69440 42.80120 0.77140 0.00000 0.00000 0.00000 0.01720 0.00000 forest 42.80120
33170000 4.54250 34.03500 58.04370 3.20140 0.00000 0.00000 0.00000 0.15320 0.02420 forest 58.04370
33190000 12.86510 29.19230 50.72900 7.07340 0.00190 0.00000 0.00000 0.11240 0.02600 forest 50.72900
33205000 4.09370 46.59870 23.93140 25.35370 0.00000 0.00000 0.00000 0.02260 0.00000 crop_mosaic 46.59870
33215000 5.53600 27.49600 31.14930 35.67840 0.00000 0.01870 0.00000 0.12160 0.00000 shrub 35.67840
33250000 3.63450 29.00610 43.21530 23.98420 0.00000 0.00430 0.00000 0.15550 0.00000 forest 43.21530
33260000 4.21220 29.36650 45.28100 20.95440 0.00000 0.00370 0.00000 0.18210 0.00000 forest 45.28100
33270000 4.23060 29.79130 43.37020 22.50140 0.00000 0.00000 0.00000 0.10650 0.00000 forest 43.37020
33281000 5.38890 32.36710 44.93860 16.85270 0.00980 0.00270 0.00000 0.44020 0.00000 forest 44.93860
33286000 5.12900 32.96380 44.48830 16.98100 0.00930 0.00260 0.00000 0.42590 0.00000 forest 44.48830
33290000 5.07220 33.21490 44.28060 16.99630 0.00920 0.00260 0.00000 0.42420 0.00000 forest 44.28060
33321000 4.71660 59.00810 17.82550 18.44760 0.00000 0.00000 0.00000 0.00210 0.00000 crop_mosaic 59.00810
33330000 12.13510 35.04910 49.82060 2.97680 0.00000 0.00260 0.00000 0.01570 0.00000 forest 49.82060
33380000 6.03800 45.93600 40.30340 7.67930 0.00000 0.00050 0.00000 0.04280 0.00000 crop_mosaic 45.93600
33450000 0.33430 13.11760 28.94180 57.59010 0.00980 0.00000 0.00000 0.00650 0.00000 shrub 57.59010
33460000 0.37970 13.85980 34.77420 50.94920 0.00820 0.00000 0.00000 0.02880 0.00000 shrub 50.94920
33480000 1.09040 15.96740 36.25090 46.46270 0.14140 0.00880 0.00000 0.07830 0.00000 shrub 46.46270
33520000 0.75440 26.08940 60.87230 11.92110 0.00530 0.00000 0.00000 0.35760 0.00000 forest 60.87230
33530000 1.61920 19.77210 49.43850 28.91490 0.07840 0.00490 0.00000 0.17200 0.00000 forest 49.43850
33550000 1.55200 21.06390 52.40640 24.68640 0.06590 0.00410 0.00260 0.21890 0.00000 forest 52.40640
