gauge_id geol_class_1st geol_class_1st_perc geol_class_2nd geol_class_2nd_perc carb_rocks_perc geol_porosity geol_permeability
33330000 siliciclastic_sedimentary_rocks 43.91000 mixed_sedimentary_rocks 42.78000 0.00000 0.19380 -13.60330
33380000 siliciclastic_sedimentary_rocks 69.58000 unconsolidated_sediments 11.18000 0.00000 0.18410 -14.25370
33450000 siliciclastic_sedimentary_rocks 89.99000 mixed_sedimentary_rocks 9.41000 0.00000 0.23180 -13.75040
33460000 siliciclastic_sedimentary_rocks 83.40000 mixed_sedimentary_rocks 16.10000 0.00000 0.22550 -13.97040
33480000 siliciclastic_sedimentary_rocks 75.62000 mixed_sedimentary_rocks 22.11000 0.00000 0.21230 -14.27180
33520000 mixed_sedimentary_rocks 58.36000 siliciclastic_sedimentary_rocks 19.83000 0.00000 0.17180 -14.53650
33530000 siliciclastic_sedimentary_rocks 66.35000 mixed_sedimentary_rocks 27.09000 0.00000 0.19770 -14.53030
33550000 siliciclastic_sedimentary_rocks 70.71000 mixed_sedimentary_rocks 23.67000 0.00000 0.19630 -14.63600
33620000 siliciclastic_sedimentary_rocks 77.99000 mixed_sedimentary_rocks 22.01000 0.00000 0.19000 -15.20000
33630000 siliciclastic_sedimentary_rocks 67.29000 mixed_sedimentary_rocks 26.52000 0.00000 0.19530 -14.68580
33680000 siliciclastic_sedimentary_rocks 70.73000 mixed_sedimentary_rocks 23.32000 0.00000 0.19510 -14.70720
33730000 siliciclastic_sedimentary_rocks 77.38000 unconsolidated_sediments 16.04000 0.00000 0.20770 -13.69560
33760000 siliciclastic_sedimentary_rocks 58.53000 unconsolidated_sediments 41.47000 0.00000 0.23710 -11.67330
33780000 siliciclastic_sedimentary_rocks 65.25000 unconsolidated_sediments 25.62000 0.00000 0.21410 -13.24320
34020000 siliciclastic_sedimentary_rocks 56.29000 mixed_sedimentary_rocks 38.43000 0.00000 0.20260 -12.22530
34060000 mixed_sedimentary_rocks 73.43000 siliciclastic_sedimentary_rocks 24.22000 0.00000 0.19580 -12.67950
34070000 mixed_sedimentary_rocks 76.38000 siliciclastic_sedimentary_rocks 21.53000 0.00000 0.19510 -12.71510
34090000 mixed_sedimentary_rocks 100.00000 nan 0.00000 0.00000 0.19000 -13.00000
34130000 mixed_sedimentary_rocks 100.00000 nan 0.00000 0.00000 0.19000 -13.04150
34170000 mixed_sedimentary_rocks 70.50000 siliciclastic_sedimentary_rocks 16.90000 0.00000 0.19510 -12.98510
34251000 siliciclastic_sedimentary_rocks 40.33000 unconsolidated_sediments 21.02000 0.00000 0.16420 -12.65180
34311000 mixed_sedimentary_rocks 60.24000 siliciclastic_sedimentary_rocks 24.52000 0.00000 0.18750 -12.88340
34571000 siliciclastic_sedimentary_rocks 32.53000 unconsolidated_sediments 29.65000 0.06000 0.13800 -12.71670
34660000 mixed_sedimentary_rocks 41.54000 siliciclastic_sedimentary_rocks 29.31000 0.09000 0.17280 -12.97300
34690000 mixed_sedimentary_rocks 41.93000 siliciclastic_sedimentary_rocks 29.18000 0.09000 0.17290 -12.98990
34730000 siliciclastic_sedimentary_rocks 100.00000 nan 0.00000 0.00000 0.19000 -13.19420
34750000 siliciclastic_sedimentary_rocks 48.07000 metamorphics 35.93000 0.00000 0.10070 -13.99260
34770000 siliciclastic_sedimentary_rocks 65.66000 metamorphics 15.88000 0.00000 0.15160 -14.04280
34789000 siliciclastic_sedimentary_rocks 61.47000 mixed_sedimentary_rocks 14.24000 0.00000 0.15760 -14.17230
34879500 mixed_sedimentary_rocks 37.74000 siliciclastic_sedimentary_rocks 34.94000 0.07000 0.17130 -13.23350
34930000 siliciclastic_sedimentary_rocks 49.76000 mixed_sedimentary_rocks 47.71000 0.00000 0.18740 -15.13080
34940000 siliciclastic_sedimentary_rocks 62.64000 mixed_sedimentary_rocks 35.50000 0.00000 0.19580 -14.70380
34980000 siliciclastic_sedimentary_rocks 71.36000 mixed_sedimentary_rocks 20.06000 0.00000 0.19050 -14.23930
35235000 acid_plutonic_rocks 59.57000 metamorphics 33.60000 0.00000 0.02330 -14.12820
35240000 acid_plutonic_rocks 100.00000 nan 0.00000 0.00000 0.01000 -14.10000
35258000 metamorphics 52.20000 acid_plutonic_rocks 46.93000 0.00000 0.01170 -14.09090
35260000 metamorphics 54.91000 acid_plutonic_rocks 44.36000 0.00000 0.01150 -14.09230
35263000 siliciclastic_sedimentary_rocks 61.04000 acid_plutonic_rocks 28.82000 0.00000 0.15040 -13.39930
