gauge_id q_mean runoff_ratio stream_elas slope_fdc baseflow_index hfd_mean Q5 Q95 high_q_freq high_q_dur low_q_freq low_q_dur zero_q_freq
24780000 1.70973 0.41731 0.81855 3.56655 0.59383 173.50000 0.13330 6.22870 13.35000 2.96667 83.65000 17.61053 0.00000
24800000 1.44914 0.35216 1.36703 3.19363 0.63948 169.95000 0.23390 4.65986 6.60000 3.66667 45.25000 11.90789 0.00000
24850000 1.50551 0.36222 1.00569 2.61992 0.69550 169.40000 0.38890 4.58250 1.80000 3.27273 0.25000 5.00000 0.00000
24900000 1.36483 0.33208 2.28681 1.97387 0.69696 177.40000 0.38770 3.72710 2.30000 1.70370 0.00000 0.00000 0.00000
24950000 1.23668 0.29930 2.31536 2.58358 0.68884 173.25000 0.24450 3.87540 1.75000 2.18750 20.15000 10.33333 0.00000
25100000 2.24466 0.47540 3.62103 3.47260 0.49808 161.25000 0.12520 8.88470 25.20000 2.17241 104.15000 19.65094 0.00000
25130000 1.25625 0.28388 2.57521 3.97187 0.59483 165.50000 0.07560 4.46590 12.45000 2.89535 99.90000 25.94805 0.00000
25200000 1.38321 0.33251 1.33865 2.80175 0.72286 174.05000 0.34760 3.86272 0.85000 3.40000 0.65000 6.50000 0.00000
25700000 1.28140 0.30631 2.09037 3.07648 0.75385 182.85000 0.28510 3.49190 0.00000 0.00000 9.45000 13.50000 0.00000
25950000 1.17318 0.27870 2.29302 3.03907 0.76745 183.35000 0.24460 3.00430 0.00000 0.00000 13.40000 12.76190 0.00000
26040000 1.94284 0.42848 1.47278 0.88458 0.90022 184.75000 1.16740 3.20986 0.00000 0.00000 0.00000 0.00000 0.00000
26050000 1.88602 0.41246 1.18175 1.35205 0.85548 179.85000 1.00740 3.60000 0.00000 0.00000 0.00000 0.00000 0.00000
26100000 1.83427 0.40965 1.36933 1.39413 0.84230 178.70000 0.95270 3.70370 0.00000 0.00000 0.00000 0.00000 0.00000
26200000 1.55678 0.35794 1.17787 1.82715 0.80322 178.25000 0.65870 3.64380 0.00000 0.00000 0.00000 0.00000 0.00000
26300000 1.34233 0.30879 1.64463 2.22824 0.81545 187.30000 0.50610 3.08530 0.00000 0.00000 0.00000 0.00000 0.00000
26350000 1.18822 0.27902 2.11043 2.90872 0.77557 191.00000 0.33230 3.16040 0.00000 0.00000 0.00000 0.00000 0.00000
26720000 0.90372 0.21313 3.01350 6.72326 0.57567 176.45000 0.01002 3.79800 45.55000 17.51923 163.80000 68.25000 0.00000
27500000 1.29307 0.29127 2.91412 4.09989 0.76480 204.05000 0.23480 3.51050 0.00000 0.00000 37.75000 32.82609 0.00000
27550000 1.99208 0.40053 3.18505 3.70429 0.67436 188.45000 0.26200 5.92730 0.95000 2.37500 63.20000 18.58824 0.00000
28150000 1.77207 0.36198 2.35161 3.17789 0.70851 191.50000 0.29810 5.00370 0.50000 1.66667 36.00000 15.00000 0.00000
28300000 1.29460 0.28736 2.44494 4.52687 0.76337 204.05000 0.19350 3.44356 0.00000 0.00000 59.60000 42.57143 0.00000
28850000 1.33604 0.29621 2.62135 4.52426 0.76234 205.25000 0.20810 3.53620 0.00000 0.00000 59.25000 51.52174 0.00000
29050000 1.24630 0.28455 2.45642 3.18366 0.78672 202.25000 0.30920 3.18900 0.00000 0.00000 1.45000 9.66667 0.00000
29100000 1.47254 0.29115 2.23936 4.19137 0.69427 202.58824 0.13530 4.85260 3.33419 16.00000 92.26326 45.41026 0.00000
29700000 1.27622 0.28164 2.15485 2.47337 0.78962 201.88889 0.47760 3.27915 0.00000 0.00000 0.00000 0.00000 0.00000
30080000 2.69870 0.34717 1.42223 4.15932 nan 240.82353 0.13100 7.98630 0.00000 0.00000 92.14309 26.49254 0.00000
30400000 2.70255 0.37368 0.98888 3.02480 0.76412 238.38889 0.31990 6.58480 0.00000 0.00000 46.85423 18.11765 0.00000
31490000 2.22924 0.35209 1.46766 2.75209 0.76476 230.15000 0.49890 5.99470 0.00000 0.00000 11.55000 14.43750 0.00000
31520000 2.36819 0.37111 1.72747 2.98758 0.75934 230.35000 0.47520 6.29620 0.00000 0.00000 17.75000 13.65385 0.00000
