gauge_id p_mean pet_mean et_mean aridity p_seasonality asynchronicity frac_snow high_prec_freq high_prec_dur high_prec_timing low_prec_freq low_prec_dur low_prec_timing
24950000 4.13192 3.10082 2.64093 0.75045 0.80202 0.14775 0.00000 15.75000 1.27530 djf 209.40000 5.30798 jja
25100000 4.72158 3.00816 2.83451 0.63711 0.57898 0.15843 0.00000 19.60000 1.26452 djf 241.95000 5.32343 jja
25130000 4.42522 3.13477 2.74231 0.70839 0.62535 0.15455 0.00000 17.50000 1.27737 djf 214.10000 5.43401 jja
25200000 4.15988 3.16192 2.71349 0.76010 0.96880 0.15338 0.00000 11.15000 1.29651 djf 180.25000 6.02843 jja
25700000 4.18336 3.17866 2.70373 0.75984 0.94247 0.15828 0.00000 10.15000 1.30968 djf 176.55000 6.39674 jja
25950000 4.20944 3.19705 2.69047 0.75950 0.90854 0.16524 0.00000 9.30000 1.28276 djf 171.70000 6.70703 jja
26040000 4.53432 3.17913 2.65989 0.70113 0.94508 0.19100 0.00000 9.40000 1.13939 djf 177.75000 4.79111 jja
26050000 4.57261 3.17422 2.66915 0.69418 1.01304 0.18478 0.00000 10.15000 1.18023 djf 174.25000 5.36980 jja
26100000 4.47760 3.18262 2.72472 0.71079 1.01855 0.18373 0.00000 9.95000 1.16374 djf 173.60000 5.85497 jja
26200000 4.34927 3.23081 2.72424 0.74284 0.99447 0.18044 0.00000 10.00000 1.24224 djf 173.15000 6.01215 jja
26300000 4.34702 3.24672 2.71546 0.74688 0.92764 0.18881 0.00000 8.90000 1.19463 djf 166.00000 6.32381 jja
26350000 4.24774 3.23106 2.68035 0.76065 0.88219 0.17770 0.00000 8.55000 1.28571 djf 166.45000 6.76626 jja
26720000 4.24023 3.37266 2.62752 0.79540 0.43643 0.23223 0.00000 15.70000 1.15018 djf 207.40000 5.29757 jja
27500000 4.43948 3.28149 2.75784 0.73916 0.55653 0.20568 0.00000 4.50000 1.07143 djf 147.65000 7.57179 jja
27550000 4.97361 3.35769 2.95710 0.67510 -0.93893 0.27593 0.00000 9.65000 1.06044 djf 181.25000 3.90205 jja
28150000 4.89544 3.28862 3.03011 0.67177 -0.94480 0.28610 0.00000 10.40000 1.07216 djf 181.45000 3.83615 jja
28300000 4.50511 3.28684 2.79054 0.72958 0.36702 0.21379 0.00000 3.40000 1.04615 djf 139.75000 7.53369 jja
28850000 4.51041 3.28828 2.79340 0.72904 0.31981 0.21624 0.00000 3.25000 1.04839 djf 138.75000 7.54076 jja
29050000 4.37991 3.31849 2.74690 0.75766 0.21369 0.23002 0.00000 2.95000 1.11321 djf 141.60000 8.58182 jja
29100000 5.05129 3.09848 3.32458 0.61340 -0.91876 0.25575 0.00000 9.40000 1.04444 djf 145.20000 3.44893 jja
29700000 4.44669 3.30698 2.79137 0.74370 0.07381 0.23204 0.00000 2.45000 1.08889 djf 134.75000 8.14199 jja
30080000 7.79335 3.08772 4.46650 0.39620 -0.77333 0.27507 0.00000 7.50000 1.09489 djf 140.05000 2.85525 son
30400000 7.27845 3.11529 4.43764 0.42802 -0.75009 0.27433 0.00000 6.00000 1.08108 djf 122.40000 2.78815 son
31490000 6.33146 3.24687 3.48441 0.51281 -0.82477 0.28420 0.00000 4.60000 1.06977 djf 150.05000 3.17903 son
31520000 6.38134 3.22261 3.54194 0.50501 -0.81555 0.28420 0.00000 3.85000 1.02667 djf 138.40000 3.04176 son
31600000 6.61727 3.22339 3.43655 0.48712 -0.76648 0.29880 0.00000 6.35000 1.05833 djf 191.75000 3.65586 son
31680000 5.60033 3.30387 3.24107 0.58994 -1.09956 0.26750 0.00000 9.90000 1.09392 mam 168.00000 4.09257 jja
31700000 5.69057 3.30639 3.28685 0.58103 -1.07757 0.26730 0.00000 8.75000 1.06061 mam 155.05000 3.90554 jja
32400000 6.15553 3.16308 3.73525 0.51386 -0.74449 0.30140 0.00000 4.75000 1.04396 mam 153.25000 3.27807 son
32550000 5.16382 3.25288 3.36135 0.62994 -0.93080 0.27915 0.00000 9.65000 1.08427 mam 180.30000 4.03807 son
32620000 4.86056 3.24253 3.24668 0.66711 -0.92413 0.28994 0.00000 7.75000 1.04730 djf 150.40000 3.67277 son
32830000 5.43990 3.28741 3.32370 0.60432 -0.89039 0.31415 0.00000 10.60000 1.09278 mam 184.75000 3.91005 son
33025000 3.61359 3.30773 2.62916 0.91536 -0.69689 0.30382 0.00000 16.85000 1.22545 djf 212.45000 4.88953 jja
33170000 3.66560 3.26429 2.72976 0.89052 -0.70017 0.31603 0.00000 17.60000 1.23509 mam 212.90000 4.95116 jja
33190000 4.00601 3.28767 2.80056 0.82068 -0.79109 0.30594 0.00000 13.30000 1.20909 mam 190.15000 4.60412 jja
33205000 3.05746 3.35445 2.44574 1.09714 -0.70282 0.32710 0.00000 16.60000 1.16084 djf 218.50000 5.13514 jja
33215000 2.89985 3.42147 2.27762 1.17988 -0.57809 0.32800 0.00000 17.70000 1.22069 djf 231.15000 5.47101 jja
33250000 2.98654 3.36161 2.37046 1.12559 -0.56847 0.32648 0.00000 17.10000 1.18750 djf 218.85000 5.49874 jja
33260000 3.02361 3.36452 2.39289 1.11275 -0.56455 0.32686 0.00000 17.15000 1.19512 djf 215.95000 5.43955 jja
33270000 3.16653 3.36555 2.45890 1.06285 -0.57708 0.33327 0.00000 21.35000 1.19944 mam 241.05000 5.38058 jja
33281000 3.21903 3.38986 2.50892 1.05307 -0.63200 0.33000 0.00000 16.20000 1.17818 mam 210.55000 5.35751 jja
33286000 3.28508 3.39534 2.52881 1.03356 -0.65214 0.33000 0.00000 16.00000 1.17647 mam 207.45000 5.45204 jja
33290000 3.29953 3.39534 2.52881 1.02904 -0.65564 0.33156 0.00000 15.75000 1.16236 mam 206.95000 5.46764 jja
33321000 3.22459 3.34504 2.53489 1.03736 -0.49437 0.32450 0.00000 15.90000 1.13571 djf 214.45000 4.96412 jja
33330000 3.31960 3.35109 2.56750 1.00948 -0.44431 0.31310 0.00000 18.75000 1.15741 djf 225.00000 4.77707 jja
33380000 3.54794 3.33180 2.60187 0.93908 -0.62049 0.32227 0.00000 14.10000 1.18487 mam 195.00000 4.80888 jja
33450000 2.98149 3.36574 2.37501 1.12888 -0.52538 0.33475 0.00000 18.45000 1.19417 djf 227.15000 5.76523 jja
33460000 3.02326 3.36678 2.45359 1.11363 -0.54350 0.33475 0.00000 17.40000 1.19588 djf 225.25000 5.73885 jja
33480000 2.98676 3.36543 2.53320 1.12678 -0.54106 0.33340 0.00000 17.25000 1.17747 djf 226.80000 6.06417 jja
33520000 3.25385 3.40956 2.76459 1.04785 -0.60791 0.35090 0.00000 19.55000 1.17771 djf 238.50000 6.18677 jja
33530000 3.16607 3.38172 2.62651 1.06811 -0.60739 0.34062 0.00000 16.30000 1.17690 djf 220.40000 6.29714 jja
33550000 3.25758 3.39582 2.67213 1.04244 -0.63980 0.34493 0.00000 15.25000 1.15094 djf 215.20000 6.29240 jja
33620000 4.27692 3.41740 2.94997 0.79903 -0.83166 0.35810 0.00000 18.55000 1.24497 mam 221.35000 5.56855 jja
33630000 3.49543 3.41498 2.71040 0.97698 -0.70392 0.34941 0.00000 13.90000 1.16318 mam 204.25000 5.96350 jja
33680000 3.65647 3.42140 2.74963 0.93571 -0.73594 0.35081 0.00000 12.65000 1.18224 mam 196.70000 5.91579 jja
33730000 4.35811 3.58890 2.86596 0.82350 -0.90974 0.37800 0.00000 15.20000 1.21116 mam 215.55000 5.77108 jja
33760000 4.21590 3.49976 2.88972 0.83013 -0.99478 0.37160 0.00000 14.40000 1.13386 mam 210.35000 5.55746 son
33780000 4.39431 3.54290 2.90979 0.80625 -0.95549 0.36665 0.00000 13.50000 1.17391 mam 202.50000 5.70423 son
34020000 3.32013 3.47377 2.30009 1.04628 -0.23778 0.28933 0.00000 17.10000 1.23022 djf 225.85000 6.88567 jja
34060000 3.42637 3.50959 2.41105 1.02429 -0.44100 0.30121 0.00000 13.70000 1.19130 djf 210.75000 7.29239 jja
34070000 3.38392 3.50924 2.41104 1.03704 -0.45082 0.30261 0.00000 13.80000 1.19481 djf 210.35000 7.35490 jja
34090000 2.76593 3.54422 2.28970 1.28138 -0.44071 0.30620 0.00000 17.80000 1.21918 djf 233.55000 7.29844 jja
34130000 3.98950 3.52716 2.43057 0.88411 -0.57093 0.31393 0.00000 11.60000 1.11538 djf 200.55000 6.06808 jja
34170000 3.44415 3.48194 2.41455 1.01097 -0.54889 0.31667 0.00000 12.50000 1.13636 djf 199.65000 6.66611 jja
34251000 2.55489 3.48892 2.13797 1.36559 0.31276 0.26073 0.00000 21.45000 1.33645 djf 246.95000 8.23167 jja
34311000 2.93564 3.49116 2.27939 1.18923 -0.29038 0.29924 0.00000 13.30000 1.17181 djf 210.30000 7.96591 jja
34571000 1.86236 3.47912 1.67973 1.86813 -0.11309 0.28695 0.00000 23.60000 1.36416 djf 272.70000 9.33904 jja
