gauge_id sand_perc silt_perc clay_perc org_carbon_content bedrock_depth water_table_depth
40710000 39.76050 16.94380 43.26260 24.26480 2240.70620 1943.53310
40740000 39.83070 17.06340 43.07500 24.62540 2246.74440 2075.56360
40800001 39.91380 17.26690 42.79340 25.37550 2278.78300 2098.46600
40810350 37.41470 18.59910 43.99540 15.37330 2321.22580 5346.57000
40810800 38.06830 18.40780 43.49380 34.64180 2246.87320 2448.38330
40811100 37.70990 18.56620 43.69400 33.23530 2237.67270 2497.14310
40822995 38.50000 17.59420 43.89970 19.73420 2220.31850 2755.98440
40823500 38.80020 17.86360 43.32410 20.01750 2198.10680 2758.73090
40850000 39.76070 17.36840 42.84620 23.73210 2303.44380 2062.58950
40975000 45.35260 15.48070 39.13630 15.38940 3088.58800 2324.13190
41050000 41.44660 16.16040 42.34830 12.95200 2902.74980 1964.66500
41135000 42.68000 16.91500 40.37510 14.25020 2492.27440 1861.19770
41199998 41.66000 17.55750 40.76210 31.92510 2420.59430 3156.48170
41260000 41.01000 17.79390 41.17490 35.23330 2534.63420 2710.61330
41300000 39.80160 17.61320 42.57830 30.18180 2562.21460 2892.48070
41380000 42.18190 18.72520 39.08620 20.26190 2407.19440 2108.98090
41410000 40.54860 18.16550 41.26670 31.28320 2457.51490 2447.29960
41440005 38.47930 18.47010 43.02540 44.53350 2462.37270 2040.61650
41539998 39.24940 18.58640 42.14040 35.81000 2403.19250 1792.61570
41650002 41.45460 18.53220 39.99550 27.13970 2382.64360 2168.85780
41685000 44.90520 18.04950 37.04320 9.75930 2534.66540 1419.49660
41780002 45.52420 17.26330 37.19560 31.60220 3122.92770 2514.58640
41818000 42.82940 18.27920 38.87540 26.23400 2593.75260 2180.23750
41890000 47.17850 18.31580 34.49550 17.14940 3332.53330 2419.63330
41990000 44.32120 18.25540 37.40920 22.00310 2765.99000 2187.05480
42089998 45.12380 18.47380 36.38910 13.06490 2746.90290 2148.20760
