gauge_id gauge_name gauge_region gauge_lat gauge_lon area_ana area_gsim area_gsim_quality
14500000 mocidade amazon 3.46440 -60.90970 43900.00000 43036.34000 high
14515000 fazenda_passarao amazon 3.20780 -60.57110 50200.00000 49360.72000 high
14526000 bonfim amazon 3.38110 -59.81110 9860.00000 10020.33000 high
14526500 fazenda_novo_destino amazon 3.85470 -59.68750 9870.00000 nan nan
14527000 ponte_do_tacutu amazon 3.56750 -59.88830 24300.00000 24091.47000 high
14528000 fazenda_paraiso amazon 3.31780 -60.34470 40600.00000 41273.53000 high
14530000 vila_surumu amazon 4.19610 -60.79390 2280.00000 2321.30900 high
14540000 fazenda_bandeira_branca amazon 4.63060 -60.47060 3210.00000 3222.57900 high
14550000 maloca_do_contao amazon 4.16750 -60.52890 5780.00000 5889.64500 high
14558000 fazenda_paraiso amazon 3.31780 -60.34470 40600.00000 nan nan
14560000 maloca_ailan amazon 4.63330 -60.18330 nan 1072.98000 high
14570000 sitio_jaragua amazon 2.85690 -60.73170 nan 2894.74900 high
14620000 boa_vista amazon 2.82670 -60.65610 97200.00000 nan nan
14650000 posto_funai amazon 2.73170 -62.01720 9210.00000 9609.64700 high
14680000 fazenda_santo_amaro amazon 2.88330 -61.33330 nan 213.15130 high
14680001 fe_e_esperanca amazon 2.87080 -61.44060 12200.00000 12473.34000 high
14690000 mucajai amazon 2.47140 -60.91780 19800.00000 20172.38000 high
14710000 caracarai amazon 1.82140 -61.12360 126000.00000 125721.10000 high
14740000 fazenda_anaua amazon 1.12920 -60.22360 5900.00000 nan nan
14750000 missao_catrimani amazon 1.75000 -62.28330 6180.00000 6145.50900 high
14845000 fazenda_sao_jose amazon 0.51780 -60.46610 5680.00000 5605.52800 high
14850000 base_alalau amazon -0.85860 -60.52000 7080.00000 7140.12900 high
15030000 jatuarana amazon -3.06330 -59.64780 2930000.00000 2930404.00000 high
15035000 autazes amazon -3.57640 -59.13390 42500.00000 nan nan
15040000 careiro amazon -3.19610 -59.83360 2853079.00000 1.49310 caution
15042000 rio_preto_da_eva amazon -2.69890 -59.70360 976.00000 975.65160 high
15050000 pontes_e_lacerda amazon -15.21530 -59.35390 2990.00000 3014.53200 high
15120001 mato_grosso amazon -15.00920 -59.95810 22500.00000 17782.69000 low
15124009 cabixi amazon -13.51250 -60.53000 3600.00000 3616.44200 high
15130000 pimenteiras amazon -13.48580 -61.05000 54400.00000 55983.24000 high
15150000 pedras_negras amazon -12.85140 -62.89920 110000.00000 110643.10000 high
15160000 pch_alta_floresta_montante amazon -11.91670 -62.08330 nan 1257.87400 high
15170000 cachoeira_do_cachimbo amazon -11.93060 -62.15280 1420.00000 1399.40100 high
15180000 sao_miguel_do_guapore amazon -11.73310 -62.80810 2060.00000 nan nan
15190000 sao_francisco_do_guapore amazon -11.96640 -63.27220 1520.00000 nan nan
15200000 principe_da_beira amazon -12.42670 -64.42530 341000.00000 345616.20000 high
15245000 seringal_sao_luiz amazon -11.06670 -64.08330 nan 1037.39600 high
15246000 boa_vista_do_pacaas amazon -11.21170 -64.90610 nan 5432.99400 high
15248010 boca_do_pompeu_-_jusante amazon -10.91750 -65.04330 4390.00000 4363.56100 high
15250000 guajara-mirim amazon -10.79250 -65.34780 609000.00000 623653.90000 high
15318000 uhe_jirau_jusante_rio_beni amazon -10.35690 -65.36140 834000.00000 932044.30000 low
15320002 abuna amazon -9.70530 -65.36670 921000.00000 937350.40000 high
15323000 colocacao_cajueiro amazon -10.29470 -67.13330 nan 9866.56900 low
15324000 placido_de_castro amazon -10.33780 -67.18310 7740.00000 6887.94000 low
15325000 morada_nova amazon -9.83330 -65.56670 nan 30489.64000 high
15326000 morada_nova_-_jusante amazon -9.78470 -65.52750 31100.00000 30981.40000 high
15340000 palmeiral_(salto_jirau) amazon -9.51190 -64.81000 nan 975472.30000 high
15341000 uhe_santo_antonio_jusante_caldeirao_do_inferno amazon -9.20280 -64.60860 974224.00000 nan nan
15344000 uhe_santo_antonio_montante_jaciparana amazon -9.50110 -64.38170 6890.03000 nan nan
15380000 uhe_santo_antonio_jusante_r-7 amazon -8.78220 -63.93030 988872.51000 995408.10000 high
15390000 uhe_santo_antonio_porto_velho amazon -8.74810 -63.91580 988997.42000 nan nan
15400000 porto_velho amazon -8.74830 -63.91690 976000.00000 995526.50000 high
15430000 ariquemes amazon -9.92560 -63.07140 8140.00000 8172.57200 high
15431000 fazenda_rio_branco amazon -9.88690 -62.98470 988.00000 1017.36100 high
15432000 mineracao_ponte_massangana amazon -9.76080 -63.28750 852.00000 913.96120 medium
