year month day simulated_streamflow_m3s
1997 02 18 20762.6465
1997 02 19 20235.2812
1997 02 20 19665.1133
1997 02 21 19282.5449
1997 02 22 19119.7402
1997 02 23 19023.9473
1997 02 24 18852.8770
1997 02 25 18675.6738
1997 02 26 18464.7754
1997 02 27 18213.6777
1997 02 28 17951.1914
1997 03 01 17802.2383
1997 03 02 18247.7422
1997 03 03 19475.7637
1997 03 04 21003.0312
1997 03 05 22609.0273
1997 03 06 24511.1504
1997 03 07 26173.9512
1997 03 08 27098.4043
1997 03 09 27662.2051
1997 03 10 27919.3535
1997 03 11 27735.4805
1997 03 12 27238.6035
1997 03 13 26587.5273
1997 03 14 25868.3242
1997 03 15 25294.6953
1997 03 16 25217.6133
1997 03 17 25094.4551
1997 03 18 25054.9414
1997 03 19 25575.1973
1997 03 20 26302.1328
1997 03 21 27566.9629
1997 03 22 29044.6953
1997 03 23 30880.6191
1997 03 24 33011.1055
1997 03 25 34099.8164
1997 03 26 34834.6875
1997 03 27 35217.8828
1997 03 28 35750.6992
1997 03 29 36454.8203
1997 03 30 37144.8164
1997 03 31 37855.1602
1997 04 01 38623.5625
1997 04 02 39427.8164
1997 04 03 40169.5547
1997 04 04 40904.1406
1997 04 05 41359.0234
1997 04 06 41695.2852
1997 04 07 41720.1953
1997 04 08 41081.9922
1997 04 09 39720.5625
1997 04 10 37472.3711
1997 04 11 35162.1172
1997 04 12 32974.4648
1997 04 13 31311.0137
1997 04 14 29921.6602
1997 04 15 29045.1328
1997 04 16 28500.8613
1997 04 17 28258.8477
1997 04 18 28274.7539
1997 04 19 28400.1992
1997 04 20 28470.9824
1997 04 21 28343.3594
1997 04 22 28119.4453
1997 04 23 27777.8105
1997 04 24 27412.9590
1997 04 25 28089.3867
1997 04 26 28559.4590
1997 04 27 28545.9727
1997 04 28 29068.4258
1997 04 29 29171.3125
1997 04 30 28904.6055
1997 05 01 28666.2148
1997 05 02 28599.7051
1997 05 03 28531.5391
1997 05 04 28313.1621
1997 05 05 28385.3301
1997 05 06 27907.0703
1997 05 07 27025.3516
1997 05 08 25888.2266
1997 05 09 24732.7109
1997 05 10 23610.7402
1997 05 11 22559.7031
1997 05 12 21608.0430
1997 05 13 20775.3320
1997 05 14 20029.2754
1997 05 15 19354.1621
1997 05 16 18765.3945
1997 05 17 18230.7910
1997 05 18 17733.3340
1997 05 19 17271.5488
1997 05 20 16858.3516
1997 05 21 16494.4727
1997 05 22 16164.3516
1997 05 23 15860.1650
1997 05 24 15573.8926
1997 05 25 15296.8076
1997 05 26 15014.6152
1997 05 27 14720.2744
1997 05 28 14415.8086
1997 05 29 14114.8164
1997 05 30 13832.5059
1997 05 31 13574.1758
1997 06 01 13334.6543
1997 06 02 13109.6982
1997 06 03 12895.5449
1997 06 04 12688.4688
1997 06 05 12485.2539
1997 06 06 12281.5605
1997 06 07 12070.4707
1997 06 08 11850.3457
1997 06 09 11630.3955
1997 06 10 11416.3428
1997 06 11 11222.1777
1997 06 12 11038.8262
1997 06 13 10862.6045
1997 06 14 10682.3643
1997 06 15 10479.7471
1997 06 16 10266.4893
1997 06 17 10070.2686
1997 06 18 9902.8887
1997 06 19 9759.1426
1997 06 20 9634.4795
1997 06 21 9528.8486
1997 06 22 9440.1045
1997 06 23 9363.0273
1997 06 24 9295.0225
1997 06 25 9238.4883
1997 06 26 9196.8193
1997 06 27 9167.8125
1997 06 28 9142.5986
1997 06 29 9112.5117
1997 06 30 9074.8916
1997 07 01 9028.9609
1997 07 02 8972.8604
1997 07 03 8888.5957
1997 07 04 8772.2910
1997 07 05 8745.6113
1997 07 06 8696.2686
1997 07 07 8596.3467
1997 07 08 8478.4307
1997 07 09 8349.9189
1997 07 10 8213.1768
1997 07 11 8073.3594
1997 07 12 7935.7104
1997 07 13 7803.6006
1997 07 14 7677.9268
1997 07 15 7557.3511
1997 07 16 7439.0435
1997 07 17 7321.9878
1997 07 18 7207.5586
1997 07 19 7098.5527
1997 07 20 6997.5107
1997 07 21 6905.3008
1997 07 22 6821.0635
1997 07 23 6742.9917
1997 07 24 6669.1733
1997 07 25 6598.2207
1997 07 26 6529.4434
1997 07 27 6462.5825
1997 07 28 6397.5742
1997 07 29 6334.3491
1997 07 30 6272.7026
1997 07 31 6212.3516
1997 08 01 6152.3115
1997 08 02 6095.2202
1997 08 03 6037.0581
1997 08 04 5977.0576
1997 08 05 5916.7808
1997 08 06 5857.6504
1997 08 07 5800.2510
1997 08 08 5744.6816
1997 08 09 5690.8530
1997 08 10 5638.4922
1997 08 11 5591.1353
1997 08 12 5544.3838
1997 08 13 5498.1650
1997 08 14 5450.4263
1997 08 15 5400.7637
1997 08 16 5350.6865
1997 08 17 5301.0303
1997 08 18 5252.2954
1997 08 19 5204.6528
1997 08 20 5158.0879
1997 08 21 5112.4600
1997 08 22 5067.5342
1997 08 23 5023.0903
1997 08 24 4978.8477
1997 08 25 4935.8428
1997 08 26 4891.2041
1997 08 27 4854.5068
1997 08 28 4828.3325
1997 08 29 4799.2793
1997 08 30 4760.7217
1997 08 31 4716.5938
1997 09 01 4669.9346
1997 09 02 4622.7275
1997 09 03 4574.9990
1997 09 04 4527.1240
1997 09 05 4479.7124
1997 09 06 4447.5459
1997 09 07 4423.6196
1997 09 08 4393.9565
1997 09 09 4357.9951
1997 09 10 4319.8271
1997 09 11 4282.1650
1997 09 12 4246.0054
1997 09 13 4217.1836
1997 09 14 4202.6919
1997 09 15 4193.3638
1997 09 16 4182.3579
1997 09 17 4170.0615
1997 09 18 4153.7739
1997 09 19 4134.8374
1997 09 20 4114.9565
1997 09 21 4095.5349
1997 09 22 4079.7319
1997 09 23 4072.4880
1997 09 24 4074.4099
1997 09 25 4084.1143
1997 09 26 4098.5537
1997 09 27 4135.1860
1997 09 28 4211.6904
1997 09 29 4297.7300
1997 09 30 4384.5459
1997 10 01 4442.2012
1997 10 02 4452.9673
1997 10 03 4426.8027
1997 10 04 4384.3584
1997 10 05 4343.2832
1997 10 06 4319.6670
1997 10 07 4332.1514
1997 10 08 4381.6704
1997 10 09 4427.8560
1997 10 10 4434.9287
1997 10 11 4382.7314
1997 10 12 4303.7441
1997 10 13 4216.1021
1997 10 14 4132.7676
1997 10 15 4071.8911
1997 10 16 4040.2097
1997 10 17 4023.2231
1997 10 18 4016.8420
1997 10 19 4007.8933
1997 10 20 4076.1921
1997 10 21 4210.8760
1997 10 22 4302.6357
1997 10 23 4341.1577
1997 10 24 4386.7173
1997 10 25 4440.5098
1997 10 26 4468.2002
1997 10 27 4469.5757
1997 10 28 4478.4062
1997 10 29 4519.1509
1997 10 30 4562.0059
1997 10 31 4633.2139
1997 11 01 4763.7739
1997 11 02 4889.9771
1997 11 03 4991.3594
1997 11 04 5090.4131
1997 11 05 5162.4717
1997 11 06 5192.6138
1997 11 07 5197.3096
1997 11 08 5190.0117
1997 11 09 5170.8511
1997 11 10 5144.4136
1997 11 11 5131.3315
1997 11 12 5091.5024
1997 11 13 5037.2485
1997 11 14 5057.5645
1997 11 15 5076.0728
1997 11 16 5049.3823
1997 11 17 5051.7637
1997 11 18 5088.3931
1997 11 19 5132.7021
1997 11 20 5175.7876
1997 11 21 5240.2544
1997 11 22 5336.3784
1997 11 23 5384.1367
1997 11 24 5356.7598
1997 11 25 5329.5625
1997 11 26 5340.4087
1997 11 27 5428.3677
1997 11 28 5598.0015
1997 11 29 5752.8115
1997 11 30 5896.7944
1997 12 01 6037.6226
1997 12 02 6164.5879
1997 12 03 6275.4023
1997 12 04 6355.8467
1997 12 05 6418.1528
1997 12 06 6506.5308
1997 12 07 6639.5552
1997 12 08 6816.1934
1997 12 09 7013.5190
1997 12 10 7198.4023
1997 12 11 7386.6953
1997 12 12 7671.7324
1997 12 13 8013.9600
1997 12 14 8332.2109
1997 12 15 8728.7910
1997 12 16 9309.8535
1997 12 17 9907.8018
1997 12 18 10423.8682
1997 12 19 11063.6982
1997 12 20 11659.8945
1997 12 21 12307.2617
1997 12 22 13139.5967
1997 12 23 13731.2939
1997 12 24 13859.9600
1997 12 25 13737.6807
1997 12 26 13504.1650
1997 12 27 13210.2500
1997 12 28 12900.6260
1997 12 29 12646.8496
1997 12 30 12446.4424
1997 12 31 12312.3799
1998 01 01 12388.1514
1998 01 02 12361.9688
1998 01 03 12294.7783
1998 01 04 12213.4648
1998 01 05 12136.9854
1998 01 06 12045.8779
1998 01 07 11914.1309
1998 01 08 11786.1729
1998 01 09 11667.4385
1998 01 10 11582.6318
1998 01 11 11530.6025
1998 01 12 11448.5039
1998 01 13 11452.4746
1998 01 14 11603.3438
1998 01 15 11826.3682
1998 01 16 12315.4014
1998 01 17 12497.6123
1998 01 18 12536.4971
1998 01 19 12706.2490
1998 01 20 12863.2773
1998 01 21 13274.4199
1998 01 22 13805.1777
1998 01 23 14320.4541
1998 01 24 14918.3467
1998 01 25 15630.4619
1998 01 26 16903.4590
1998 01 27 18464.6484
1998 01 28 19506.6055
1998 01 29 20016.7480
1998 01 30 20073.9922
1998 01 31 19836.3535
1998 02 01 19372.7109
1998 02 02 18741.9414
1998 02 03 18144.8066
1998 02 04 17583.7246
